BLEU-1,BLEU-2,BLEU-3,BLEU-4,CIDEr,METEOR,generated_caption,image_id,chair_hallucinated_objects_count,chair_hallucinated_objects_list,chair_has_hallucination,chair_mentioned_objects_count,chair_regression_score
0.041042499270907,1.8354763662658022e-09,6.5150906518041875e-09,1.2274570254139038e-08,0.2101626734777523,0.0824742268041237,giraffe<eos>,COCO_train2014_000000000025,0,,0,1,0.0
0.249999999984375,4.08248290437497e-09,1.059839832877462e-11,5.501034141799258e-13,0.0329074771118915,0.1600885387069728,"In this image you can see the horse and rider, the fence, and the grass.<eos>",COCO_train2014_000000000049,0,,0,1,0.0
0.8333333331944446,0.6741998623483217,0.449644312944035,0.317023313795383,0.6112284153849314,0.3154422296373848,The clock is on a post in front of a tree.<eos>,COCO_train2014_000000000064,0,,0,1,0.0
0.0150986916960606,6.752340199052528e-10,2.396767908167012e-09,4.5155620457122786e-09,0.0620039810492232,0.0738461538461538,Giraffes<eos>,COCO_train2014_000000000072,0,,0,1,0.0
0.2045454545408058,0.0975384133121107,0.0609584657118344,8.621434964642648e-06,2.802064429232343e-07,0.1917115394100134,The clock and owl are both unique and interesting objects. The clock has a roman numeral dial and is on a fancy base. The owl is a cute and interesting sculpture. The candle is lit and placed in the shape of an owl.<eos>,COCO_train2014_000000000078,0,,0,1,0.0
0.2580645161248699,0.2157225630722849,0.1458478264950087,0.085155355853079,4.932388326575071e-15,0.276501699203799,This image shows a woman and a young boy sitting at a restaurant table and eating pizza. The woman is cutting a slice of pizza and the boy is watching her. The woman is holding a fork and knife and she is slicing the pizza with the boy watching. The woman is slicing the pizza and the boy is watching her.<eos>,COCO_train2014_000000000110,0,,0,5,0.0
0.340909090901343,0.1990994524461345,0.0980912525777039,1.2317618414994371e-05,1.1666016663740064e-06,0.2362396592722382,I am making a peanut butter and banana sandwich. I use a slice of white bread and slice of dark chocolate banana spread. I then add bananas and sliced lemons. I top the sandwich with a small slice of dark chocolate banana spread.<eos>,COCO_train2014_000000000142,0,,0,2,0.0
0.1259170684744299,0.1090473800598337,1.309590285535129e-06,8.070409085385518e-07,0.5670425187342516,0.1557618463116279,Stop sign<eos>,COCO_train2014_000000000151,0,,0,1,0.0
0.5909090908822315,0.4744557145690982,0.3232170093901441,0.2053204726970639,0.1769052960478661,0.359532219272984,The image shows a woman pushing a cart with luggage at an airport. The woman is standing near a bus stop.<eos>,COCO_train2014_000000000260,0,,0,3,0.0
0.1304347826030246,2.4349237676800973e-09,6.560201024695779e-12,3.446913316568276e-13,0.008453913805234,0.0458452722063037,"Your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000312,0,,0,1,0.0
0.7430381995735735,0.6552980968898172,0.4206832754429204,6.33783487450775e-05,0.8743326731911332,0.2876590698226972,A man playing frisbee at night<eos>,COCO_train2014_000000000322,0,,0,2,0.0
0.3499999999825,0.1919429739776289,0.1269669375857857,1.86275506570376e-05,0.1121487379966559,0.1144118950951677,"The dish is a bowl of rice noodles, topped with vegetables, and served with a sweet and sour sauce.<eos>",COCO_train2014_000000000332,0,,0,1,0.0
0.2040816326488963,0.1129384878608275,6.47433787030964e-07,1.558500916173644e-09,1.8318377030551295e-10,0.1661355581076527,Example: The image is a small girl holding a large green broccoli. The broccoli is a bright green and is covered with a thin layer of frost. The girl is smiling and is wearing a pink dress. The image is outside and is being held in a window.<eos>,COCO_train2014_000000000370,0,,0,2,0.0
0.0434782608676749,1.405803892726323e-09,4.548589342479408e-12,2.6190877432762615e-13,2.7616189311696325e-05,0.0359983929288871,"Your captions should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000394,1,person,1,1,1.0
9.999999998000002e-17,1.0540925531727853e-16,1.115721583233711e-16,1.1868405216912992e-16,0.0,0.0250871080139372,"What is the main subject of this image?
girl<eos>",COCO_train2014_000000000446,0,,0,1,0.0
0.0248935341590385,1.1132726913181444e-09,3.9516022311264054e-09,7.4449031939320185e-09,0.1921631319037439,0.0701754385964912,pizza<eos>,COCO_train2014_000000000450,0,,0,1,0.0
0.6666666665185187,0.4082482903703063,0.2876847912640881,4.463236136748592e-05,0.6451977584031848,0.1702163606315636,The bus is parked on a sunny day.<eos>,COCO_train2014_000000000471,0,,0,1,0.0
0.4043537730069712,0.2214736826845505,1.951996377241416e-06,6.227190210443543e-09,0.2705073189143998,0.1233473221563761,The bed is very elaborate.<eos>,COCO_train2014_000000000514,0,,0,1,0.0
0.0869565217353497,1.9881069311304567e-09,5.730863459917284e-12,3.1146377791205494e-13,0.0002932284590918,0.0415094339622641,"Your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000529,0,,0,1,0.0
0.0150986916960606,6.752340199052528e-10,2.396767908167012e-09,4.5155620457122786e-09,0.1808725729806141,0.0668523676880222,Bus<eos>,COCO_train2014_000000000532,0,,0,1,0.0
0.1111111111080247,1.7817416126992963e-09,4.5366663800263576e-12,2.306344333727597e-13,1.7014720939289618e-06,0.0511242603550295,"You are a helpful vision-language assistant that generates detailed and accurate image captions. Your captions should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the setting.<eos>",COCO_train2014_000000000560,1,person,1,1,1.0
0.1739130434706994,0.0889108448909239,7.220435507223147e-07,2.0828838183001623e-09,0.0021040595116213,0.0557394444248541,"Your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000562,1,person,1,1,1.0
0.6666666665185187,0.4082482903703063,2.8768479126408824e-06,7.936880924121685e-09,0.6442192304613791,0.1937646880963215,The picture is of three people playing frisbee.<eos>,COCO_train2014_000000000625,0,,0,1,0.0
0.0340909090905217,6.259788572880137e-10,1.6578311396813953e-12,8.556585380473531e-14,3.110470377333078e-38,0.0491228070175438,"skateboard, skateboarder, sport, skatepark, skateboarding, urban, boy, shadow, black and white, photography, action, sports, outdoor recreation, summer, cool, recreation, lifestyle, male, teen, skateboard, skateboarder, sport, extreme sport, sports equipment, sport equipment, skating, skateboarder's clothing, sports equipment, skateboards, extreme sports, skateboarding tricks, street sport, skateboarding style, skateboarding tricks, extreme skateboarding, skateboards, skateboarding tricks, skateboarding tricks, extreme skateboarding, skateboarding tricks, extreme skateboarding, skateboarding tricks, skateboarding tricks, extreme skateboarding, skateboarding tricks, extreme skateboarding, skateboarding tricks, skateboarding tricks, extreme skateboarding, skateboarding tricks, extreme skateboarding, skateboarding tricks, extreme skateboarding, skateboarding tricks, extreme",COCO_train2014_000000000634,0,,0,2,0.0
0.1304347826030246,2.4349237676800973e-09,6.560201024695779e-12,3.446913316568276e-13,0.0001769639727563,0.0423917513446798,"Your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000670,1,person,1,1,1.0
0.0248935341590385,1.1132726913181444e-09,3.9516022311264054e-09,7.4449031939320185e-09,0.2108549673444764,0.0701754385964912,Bus<eos>,COCO_train2014_000000000681,0,,0,1,0.0
0.0869565217353497,1.9881069311304567e-09,5.730863459917284e-12,3.1146377791205494e-13,7.814452676801119e-05,0.0764653271326374,"Your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000690,0,,0,1,0.0
0.0248935341590385,1.1132726913181444e-09,3.9516022311264054e-09,7.4449031939320185e-09,0.3404901267904573,0.0779220779220779,giraffe<eos>,COCO_train2014_000000000706,0,,0,1,0.0
0.1739130434706994,2.8116077854526447e-09,7.220435507223149e-12,3.7039494075864316e-13,0.000222288417814,0.0765217391304348,"your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000714,1,person,1,1,1.0
0.2173913043383743,3.1434730671698792e-09,7.777978366949755e-12,3.9164496648195934e-13,0.0024997408931152,0.075146771037182,"Your captions should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000000716,0,,0,1,0.0
0.0248935341590385,1.1132726913181444e-09,3.9516022311264054e-09,7.4449031939320185e-09,0.2107402340299693,0.0779220779220779,giraffe<eos>,COCO_train2014_000000000753,0,,0,1,0.0
0.0797101449269586,0.0241210670447021,1.6233719630334841e-07,4.2191997690854806e-10,3.3623248753170573e-97,0.100548507561299,"This image shows four people sitting at a dinner table, and a woman sitting to the right of the table. The woman is wearing a blue tank top and a blue shirt. The man is wearing a red shirt and a black shirt. The woman is wearing a blue shirt and a red shirt. The man is wearing a red shirt and a black shirt. The woman is wearing a blue shirt and a red shirt. The man is wearing a red shirt and a black shirt. The woman is wearing a blue shirt and a red shirt. The man is wearing a red shirt and a black shirt. The woman is wearing a blue shirt and a red shirt. The man is wearing a red shirt and a black shirt. The woman is wearing a blue shirt",COCO_train2014_000000000790,0,,0,2,0.0
0.3333333333148148,0.1400280083947929,1.070130183555234e-06,3.006454568869563e-09,0.0735898088478938,0.1606330769641879,A man and a woman are standing next to a small cart with a bag of candy.<eos>,COCO_train2014_000000000821,1,suitcase,1,2,0.5
0.4999999999166667,0.3692744728750537,2.3890919111710343e-06,6.2389860709965325e-09,0.3389880156024061,0.2350111431443791,Example: A person lying on the snow with skis and poles.<eos>,COCO_train2014_000000000897,0,,0,2,0.0
0.3142857142767348,0.1922882989519188,1.0386373237849328e-06,2.4325425697787334e-09,0.0002706661125691,0.2424471394148519,"In the image above, the main subject is the fruit bowl, which is in the foreground. This is a bowl containing bananas, mangos, and longan fruits. The background is the table and the chair.<eos>",COCO_train2014_000000000902,0,,0,3,0.0
0.3422780792409688,0.1874734249366948,1.652329260387544e-06,5.271202710558196e-09,0.2294708741822385,0.1350220903468407,The man in the suit.<eos>,COCO_train2014_000000000925,0,,0,1,0.0
0.1388888888850309,1.9920476821678646e-09,4.886975713115077e-12,2.438662222082535e-13,6.063323807651086e-07,0.0638434118728216,"you are a helpful vision-language assistant that generates detailed and accurate image captions. Your captions should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the setting.<eos>",COCO_train2014_000000000927,0,,0,1,0.0
0.1999999999800001,4.714045207412725e-09,1.4057211086787582e-11,7.93688092513584e-13,0.0074102468666581,0.0678347449025787,What are the objects? What are the people doing?<eos>,COCO_train2014_000000000955,1,person,1,1,1.0
0.4499999999775,0.266556994977913,0.1580408005034111,2.1951524425427533e-05,0.155216399035938,0.242355241367641,"The image is a photograph of my cats, one laying on a leather couch with a pillow between them.<eos>",COCO_train2014_000000000977,0,,0,2,0.0
0.0248935341590385,1.1132726913181444e-09,3.9516022311264054e-09,7.4449031939320185e-09,0.0583156861839256,0.0738461538461538,giraffe<eos>,COCO_train2014_000000000996,0,,0,1,0.0
0.1186440677945992,0.0452281701568136,3.298484085478256e-07,8.947233841048186e-10,2.931598823790275e-17,0.0708616347985276,"You are a helpful vision-language assistant that generates detailed and accurate image captions. Your captions should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the setting. Describe this image in detail. What do you see? Include information about the main subjects, their actions, the setting, and any notable details.<eos>",COCO_train2014_000000001099,1,person,1,1,1.0
0.2692307692204142,0.103774904328483,7.655810009045044e-07,2.101654884070226e-09,0.0059334658349967,0.1846274592184619,The image is a ski lift that is surrounded by trees. The image is taken from a distance and there is snow on the ground.<eos>,COCO_train2014_000000001102,0,,0,1,0.0
0.2173913043383743,0.0994053465565228,7.777978366949754e-07,2.202381494555949e-09,0.0008004095072619,0.0476941551364017,"Your captions should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the environment.<eos>",COCO_train2014_000000001107,1,person,1,1,1.0
0.0248935341590385,1.1132726913181444e-09,3.9516022311264054e-09,7.4449031939320185e-09,0.1613033784205479,0.0701754385964912,cat<eos>,COCO_train2014_000000001139,0,,0,1,0.0
0.7238699342839938,0.713745380631232,0.6604587983224958,0.6212514612795582,2.0226803632792145,0.3596566375513402,This is a sandwich and a glass of wine.<eos>,COCO_train2014_000000001144,0,,0,1,0.0
0.0238095238089569,7.620499280803226e-10,2.439508227608352e-12,1.3890266032645656e-13,1.6675314014271212e-10,0.0255125284738041,"You are the main subject of the image. Your caption should focus on the main subject of the image. Your caption should be specific, descriptive, and focus on the key elements of the image including people, objects, actions, and the setting.<eos>",COCO_train2014_000000001183,0,,0,1,0.0
