BLEU-1,BLEU-2,BLEU-3,BLEU-4,CIDEr,METEOR,generated_caption,image_id,chair_hallucinated_objects_count,chair_hallucinated_objects_list,chair_has_hallucination,chair_mentioned_objects_count
8.33333333263889e-17,8.7038827970266e-17,9.11609179238116e-17,9.578464407697051e-17,0.0,0.04033613445378153,How does the image make you feel? What do you notice?<eos>,COCO_train2014_000000000009,0,,0,0
0.041042499270907015,1.8354763662658024e-09,6.515090651804187e-09,1.2274570254139038e-08,0.2101626734777523,0.08247422680412372,giraffe<eos>,COCO_train2014_000000000025,0,,0,1
1.111111110864198e-16,1.178511301707504e-16,1.256579068250238e-16,1.3485111856165858e-16,0.0,0.01568638781955102,Do not include words that are not necessary.<eos>,COCO_train2014_000000000030,0,,0,0
0.12383969992892904,4.229931026759462e-09,1.4584274597955134e-11,9.054992803586729e-13,0.0008362623281791538,0.042911427930304405,How can you describe the image?<eos>,COCO_train2014_000000000034,0,,0,0
0.07692307691715985,2.531848417506296e-09,8.35271324738965e-12,4.91327054771308e-13,0.00020941066496959026,0.07789046653144018,How do you know? What makes you think that's the case?<eos>,COCO_train2014_000000000036,0,,0,0
0.24999999998437505,4.0824829043749705e-09,1.0598398328774619e-11,5.501034141799257e-13,0.032907477111891556,0.16008853870697284,"In this image you can see the horse and rider, the fence, and the grass.<eos>",COCO_train2014_000000000049,0,,0,1
0.19999999996000015,4.714045206941321e-09,1.4057211085381864e-11,7.936880924342154e-13,0.001954986148467601,0.04039266344758864,What is the most interesting part of the image?<eos>,COCO_train2014_000000000061,0,,0,0
0.8333333331944446,0.6741998623483217,0.44964431294403506,0.31702331379538307,0.6112284153849314,0.3154422296373848,The clock is on a post in front of a tree.<eos>,COCO_train2014_000000000064,0,,0,1
0.1111111110864199,3.726779961645599e-09,1.2565790682502379e-11,7.583235671536399e-13,0.0018656270433121027,0.020100502512562814,Describe the scene and explain what you see.<eos>,COCO_train2014_000000000071,0,,0,0
0.0150986916960606,6.752340199052529e-10,2.396767908167012e-09,4.5155620457122786e-09,0.06200398104922322,0.07384615384615385,Giraffes<eos>,COCO_train2014_000000000072,0,,0,1
0.12499999999479171,2.3312620205015374e-09,6.2746065527104185e-12,3.293328483675269e-13,0.0008599885326322242,0.05351245741492098,"Describe the scene in detail. What do you see? Include information about the main subjects, their actions, the setting, and any notable details.<eos>",COCO_train2014_000000000077,0,,0,0
0.20454545454080583,0.09753841331211074,0.0609584657118344,8.621434964642648e-06,2.802064429232343e-07,0.19171153941001345,The clock and owl are both unique and interesting objects. The clock has a roman numeral dial and is on a fancy base. The owl is a cute and interesting sculpture. The candle is lit and placed in the shape of an owl.<eos>,COCO_train2014_000000000078,0,,0,1
0.06249999999609382,2.041241452187486e-09,6.676572574796895e-12,3.8898185452049755e-13,0.00029935648463838685,0.05752580875967791,What are you trying to convey? What is the main message you want to communicate?<eos>,COCO_train2014_000000000081,0,,0,0
0.19999999996000015,0.14907119846934372,1.405721108538186e-06,4.46323613687257e-09,0.006979403943145295,0.05122462863510193,"In the caption, you should include the following information:<eos>",COCO_train2014_000000000086,0,,0,0
1.5098691696060585e-17,2.1352774565320712e-17,2.3967679081670125e-14,8.029931010643379e-13,0.0,0.0,After<eos>,COCO_train2014_000000000089,0,,0,0
0.16666666665740745,0.09901475429200489,8.493628895592506e-07,2.5281168695855673e-09,0.0009232047046726062,0.05245423715588611,Write a caption for this image. This is an example of a caption that is too long.<eos>,COCO_train2014_000000000092,0,,0,0
0.1999999999800001,4.714045207412725e-09,1.4057211086787582e-11,7.93688092513584e-13,0.0038348467282844235,0.07411444141689373,"How are the subjects positioned?
What is the composition?<eos>",COCO_train2014_000000000094,0,,0,0
1.1031211279549644e-16,1.1792860905377833e-16,1.269404686015132e-16,1.3784336587052549e-16,0.0,0.0,© 2018 Photo by Jean W. Ohly<eos>,COCO_train2014_000000000109,0,,0,0
0.25806451612486997,0.21572256307228496,0.14584782649500874,0.08515535585307907,4.932388326575071e-15,0.276501699203799,This image shows a woman and a young boy sitting at a restaurant table and eating pizza. The woman is cutting a slice of pizza and the boy is watching her. The woman is holding a fork and knife and she is slicing the pizza with the boy watching. The woman is slicing the pizza and the boy is watching her.<eos>,COCO_train2014_000000000110,0,,0,5
2.4893534159038484e-17,3.520477361430895e-17,3.9516022311264055e-14,1.3239118059502316e-12,0.0,0.0,Caption:<eos>,COCO_train2014_000000000113,0,,0,0
9.0909090892562e-17,9.534625890679017e-17,1.0033557296557626e-16,1.0600313377417292e-16,0.0,0.0,You can use this image for your blog or website.<eos>,COCO_train2014_000000000127,0,,0,0
9.118819637307602e-19,2.883623964058067e-14,9.118819643386826e-13,5.127889122861252e-12,0.0,0.0,L33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,COCO_train2014_000000000138,0,,0,0
0.340909090901343,0.19909945244613453,0.09809125257770394,1.2317618414994371e-05,1.1666016663740064e-06,0.23623965927223822,I am making a peanut butter and banana sandwich. I use a slice of white bread and slice of dark chocolate banana spread. I then add bananas and sliced lemons. I top the sandwich with a small slice of dark chocolate banana spread.<eos>,COCO_train2014_000000000142,0,,0,2
1.2499999998437502e-16,1.3363062093831524e-16,1.43842395645363e-16,1.5619699682123511e-16,0.0,0.0,Your caption should be specific and descriptive.<eos>,COCO_train2014_000000000144,0,,0,0
0.0416666666649306,1.345954755088114e-09,4.35056919543614e-12,2.502388506469318e-13,3.753910878235975e-05,0.08136684119709314,"Describe the image in detail. What do you see? Include information about the main subjects, their actions, the setting, and any notable details.<eos>",COCO_train2014_000000000149,0,,0,0
